ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2528614-20170724,2528614,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2528614,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528612-20170724,2528612,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2528612,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528613-20190916,2682629,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2528613,RENEW,,07/15/2019,07/23/2019,N,09/16/2019,08/15/2021,09/17/2019,09/17/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528614-20190816,2676088,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2528614,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528615-20190816,2676089,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2528615,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528612-20190816,2676090,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2528612,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528611-20190816,2676091,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2528611,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528613-20170822,2528613,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2528613,ISSUE,04/26/2017,06/09/2017,06/09/2017,N,08/22/2017,09/15/2019,08/22/2017,08/22/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528611-20170724,2528611,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2528611,ISSUE,04/26/2017,06/09/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528615-20170724,2528615,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2528615,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
