id,license_id,account_number,site_number,legal_name,doing_business_as_name,address,city,state,zip_code,ward,precinct,ward_precinct,police_district,license_code,license_description,business_activity_id,business_activity,license_number,application_type,application_created_date,application_requirements_complete,payment_date,conditional_approval,license_term_start_date,license_term_expiration_date,license_approved_for_issuance,date_issued,license_status,license_status_change_date,ssa,latitude,longitude,location
1878945-20090219,1878945,324796,1,"ESPRESSO TIME LTD., NFP",ESPRESSO TIME LTD,7026 W GRAND AVE 1,CHICAGO,IL,60707,29,1,29-1,25,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1878945,ISSUE,2007-11-30,2008-11-06,2008-11-06,N,2009-02-19,2010-02-15,2009-02-19,2009-02-19,AAI,,,41.923655741,-87.801904521,"(41.923655741386966, -87.80190452135636)"
2210526-20121229,2210526,370894,1,JERZY KOLODZIEJ,JERZY KOLODZIEJ,6229 W MELROSE ST 1ST,CHICAGO,IL,60634,36,41,36-41,16,4404,Regulated Business License,673,Home Repair Services,2210526,ISSUE,,,,N,2012-12-29,2014-04-15,,2012-12-29,AAI,,,41.939177254,-87.782285542,"(41.939177253681784, -87.78228554186639)"
1515791-20071116,1863261,279728,1,ALVARO RODRIGUEZ,PISTON AUTO REPAIR TRANS,1334 N KOSTNER AVE,CHICAGO,IL,60651,37,3,37-3,25,1569,Motor Vehicle Repair : Engine Only (Class II),,,1515791,RENEW,,2007-09-21,2007-11-13,N,2007-11-16,2009-11-15,2007-11-15,2007-11-16,AAI,,,41.905335123,-87.736364949,"(41.905335123487475, -87.73636494890691)"
1648655-20061116,1751219,46710,3,"T. REK, INC",REK FIVE STAR TRAVEL,5362 W LAWRENCE AVE CW,CHICAGO,IL,60630,45,29,45-29,16,1133,Broker,,,1648655,RENEW,,2006-09-20,2006-12-06,N,2006-11-16,2007-11-15,2006-12-08,2006-12-11,AAI,,,41.96774211,-87.762008483,"(41.96774210998859, -87.76200848310816)"
71435-20040216,1456432,45445,1,KARIMA ANWAR,SETARA HAIR SALON,2734 W DEVON AVE 1ST,CHICAGO,IL,60659,50,19,50-19,24,1010,Limited Business License,,,71435,RENEW,,2003-12-15,2004-02-24,N,2004-02-16,2005-02-15,2003-12-22,2004-02-24,AAI,,43,41.997687368,-87.698578399,"(41.99768736800557, -87.69857839896896)"
1737132-20070516,1815851,306112,1,30 W. MONROE PROPERTY A LLC,30 W. MONROE PROPERTY A LLC,30 W MONROE ST 610,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,1737132,RENEW,,2007-03-23,2007-05-30,N,2007-05-16,2008-04-15,2007-05-30,2007-05-31,AAC,2007-09-26,1,41.880838616,-87.628901944,"(41.88083861588338, -87.62890194445242)"
1334504-20060216,1667625,259119,1,FAIR SHARE FINE FOODS INCORPORATED,FAIR SHARE FINE FOODS INCORPORATED,6422 W 63RD ST,CHICAGO,IL,60638,13,22,13-22,8,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1334504,RENEW,,2005-12-21,2006-01-15,N,2006-02-16,2007-02-15,2006-01-16,2006-02-06,AAI,,,41.777768668,-87.782336895,"(41.777768668412264, -87.78233689461797)"
2208378-20160116,2436337,345313,1,JOEL'S HEATING & COOLING INC.,JOEL'S HEATING & COOLING INC.,5824 S AUSTIN AVE 1,CHICAGO,IL,60638,13,20,13-20,8,4404,Regulated Business License,673,Home Repair Services,2208378,RENEW,,2015-11-15,2016-01-15,N,2016-01-16,2018-01-15,2016-01-15,2016-01-19,AAI,,,41.786261169,-87.771968025,"(41.786261168729574, -87.77196802516916)"
37244-20051116,1635224,88757,1,SOLO CUP OPERATING CORPORATION,SOLO CUP OPERATING CORPORATION,7575 S KOSTNER AVE 1ST,CHICAGO,IL,60652,18,,18-,8,1008,Hazardous Materials,,,37244,RENEW,,2005-09-22,2005-11-21,N,2005-11-16,2006-11-15,2005-11-21,2005-11-22,AAI,,,41.755061934,-87.732227865,"(41.75506193441227, -87.73222786456962)"
33452-20130816,2265605,53965,1,DANIEL J HOYNE,ELSTON TELEPHONE COMPANY,3447 N PULASKI RD 1ST,CHICAGO,IL,60641,30,8,30-8,17,1010,Limited Business License,,,33452,RENEW,,2013-06-15,2013-08-16,N,2013-08-16,2015-08-15,2013-08-16,2013-08-20,AAI,,,41.944118472,-87.727183283,"(41.944118472062065, -87.72718328302503)"
